,0
0,Colon
1,Arroyo Seco
2,Prado Norte
3,Punta Carretas
4,Malvin
5,Centro
6,Belvedere
7,Cno. Maldonado
8,Manga
9,Cerrito
10,Lezica
11,Punta Rieles
12,Peñarol
13,Cerro
14,Sayago
15,Maroñas
16,Las Acacias
17,La Teja
18,Nuevo Centro
19,Villa Española
20,Aires Puros
21,Union
22,Capurro
23,Paso Carrasco
24,La Comercial
25,Perez Castellanos
26,Piedras Blancas
27,Brazo Oriental
28,Paso De La Arena
29,Nuevo Paris
30,J. Hipodromo
31,Malvin Norte
32,Buceo
33,Paso Molino
34,Ituzaingo
35,Prado
36,Aguada
37,Otro
38,Jacinto Vera
39,Casabo
40,Parque Batlle
41,Maroñas Curva
42,Barra Santa Lucia
43,Bolivar
44,La Blanqueada
45,Atahualpa
46,Carrasco Norte
47,Bella Vista
48,Ciudad Vieja
49,Cordon
50,Reducto
51,Villa Muñoz
52,Goes
53,Palermo
54,Pajas Blancas
55,Barrio Sur
56,Pocitos
57,Melilla
58,Tres Cruces
59,Casavalle
60,Carrasco
61,Punta Gorda
62,Villa Dolores
63,La Figurita
64,Larrañaga
65,Parque Rodo
66,Puerto Buceo
67,Golf
68,Pocitos Nuevo
69,B. De Carrasco
70,Parque Miramar
71,Cno. Carrasco
72,Villa Biarritz
