cod_barrio_ine,valor,metraje,lat,lng,valor_metro
1,255000.0,350.0,-34.90656,-56.20633,843.0232558139535
2,250000.0,210.0,-34.90363,-56.18782,1190.0
3,185000.0,134.5,-34.91026,-56.18119,1598.0046948356808
4,196500.0,150.0,-34.902985,-56.175505,1400.0
5,218000.0,136.0,-34.91021,-56.181174999999996,1594.4055944055945
6,296000.0,170.0,-34.90839,-56.16834,1758.2417582417584
7,590000.0,246.0,-34.91954,-56.1605,2418.6991869918697
8,395000.0,174.0,-34.90784,-56.15185,2277.777777777778
9,235000.0,106.0,-34.89377,-56.13248,2090.0
10,258000.0,139.0,-34.89758,-56.14898,2068.9655172413795
11,330000.0,160.0,-34.891345,-56.106004999999996,2100.0
12,150000.0,120.0,-34.88118,-56.11469,1366.0714285714284
13,480000.0,250.0,-34.89377,-56.081165,2204.6511627906975
14,600000.0,275.0,-34.883905,-56.061795000000004,2333.3333333333335
15,299750.0,150.0,-34.87337,-56.06684,1915.8720067810978
16,255000.0,105.0,-34.87429,-56.02902,2494.9494949494947
17,88000.0,80.0,-34.856445,-56.132335,1041.6666666666667
18,850000.0,378.0,-34.92379,-56.16515,3370.7865168539324
20,90500.0,79.5,-34.80038,-56.08061,1041.6666666666667
21,77500.0,85.0,-34.838815,-56.13215,913.826998689384
22,100500.0,87.5,-34.84198,-56.14958,1032.065964269354
23,125000.0,103.0,-34.87518,-56.1367,1264.0
24,94500.0,80.0,-34.86428,-56.14492,1115.218063717909
25,99500.0,92.5,-34.84077,-56.24113,1139.1666666666665
26,118000.0,100.0,-34.8575,-56.15517,1214.2857142857142
27,115500.0,98.5,-34.85358,-56.16943,1090.7385297629198
28,89000.0,120.0,-34.84142,-56.155924999999996,1000.0
29,110000.0,110.0,-34.852265,-56.18473,1042.857142857143
31,90000.0,112.0,-34.82804,-56.14407,842.9539295392954
34,90000.0,105.0,-34.824495,-56.20554,900.0
35,99500.0,109.0,-34.88063,-56.255430000000004,887.5
36,70000.0,150.0,-34.88752,-56.27137,466.6666666666667
38,102500.0,100.0,-34.863524999999996,-56.23601,1060.1851851851852
39,262500.0,162.0,-34.862095,-56.2028,1645.0524737631185
40,140000.0,111.0,-34.87022,-56.215145,1333.3333333333333
41,150000.0,150.0,-34.8895,-56.18749,1129.923273657289
42,145000.0,111.0,-34.875434999999996,-56.187435,1350.0
43,205000.0,115.0,-34.86425,-56.18988,1670.326797385621
44,179500.0,106.5,-34.87427,-56.17344,1683.1582514401898
45,155000.0,89.0,-34.87763,-56.17748,1629.2134831460673
46,170000.0,167.5,-34.87829,-56.165535,1466.6666666666665
47,190000.0,110.0,-34.879525,-56.15864,1772.7272727272727
48,130000.0,105.0,-34.889365,-56.17809,1182.7956989247311
49,145500.0,103.0,-34.88715,-56.17384,1333.3333333333333
50,198000.0,127.0,-34.892925000000005,-56.168980000000005,1552.6133702363209
51,159000.0,103.0,-34.86516,-56.178985,1487.5
52,138000.0,104.0,-34.831445,-56.21553,1333.3333333333333
54,117500.0,114.0,-34.853120000000004,-56.224035,1041.746794871795
55,125000.0,155.0,-34.866985,-56.335265,830.952380952381
57,86000.0,100.0,-34.8376,-56.28165,717.1428571428571
58,130000.0,127.5,-34.8057,-56.22112,1079.2156862745098
59,78000.0,158.0,-34.799495,-56.081500000000005,550.632911392405
60,130000.0,100.0,-34.79989500000001,-56.24627,1172.4137931034484
62,98000.0,110.0,-34.79292,-56.13714,833.3333333333334
